,word,prediction
0,ash,0
1,bilde,0
2,coat,0
3,mort,0
4,also,0
5,farbic,0
6,alsofor,0
7,a,0
8,2nd,0
9,door,0
10,tofa,0
11,handy,0
12,manhwa,0
13,cameleon,0
14,custer,0
15,by,0
16,me,0
17,at,0
18,to,0
19,rift,0
20,in,0
21,brinevandim,0
22,uncas,0
23,centrum,0
24,verse,0
25,ben,0
26,zayton,0
27,so,1
28,heaped,0
29,ir,0
30,tishopuli,0
31,ice,0
32,bear,0
33,so,0
34,yeah,0
35,spear,0
36,feel,0
37,nick,0
38,is,0
39,alternate,0
40,pine,0
41,as,0
42,chvance,0
43,ouran,0
44,on,0
45,snouts,0
46,susan,0
47,all,0
48,nor,0
49,helen,0
50,it,0
51,arosa,0
52,it,0
53,so,0
54,no,0
55,premier,0
56,hates,0
57,when,0
58,east,0
59,air,0
60,of,0
61,10,0
62,shelton,1
63,up,0
64,fag,0
65,so,0
66,i,0
67,had,0
68,an,0
69,ladies,0
70,as,0
71,bomba,0
72,coucher,0
73,odor,0
74,sheets,0
75,father,0
76,half,0
77,mantel,0
78,on,0
79,corp,0
80,brill,0
81,hell,0
82,so,0
83,spilt,0
84,soda,0
85,reader,0
86,as,0
87,we,0
88,may,0
89,as,0
90,ashes,0
91,means,1
92,and,0
93,her,0
94,it,0
95,nearer,0
96,in,0
97,from,0
98,sacrist,0
99,egal,0
100,vinoidubist,0
101,manuel,0
102,east,0
103,manya,0
104,auto,0
105,fare,0
106,ouch,0
107,swing,0
108,series,0
109,mayor,0
110,advise,0
111,okay,0
112,the,0
113,decade,0
114,i,0
115,sow,0
116,shoe,0
117,sick,0
118,cadets,0
119,cot,0
120,crooned,0
121,then,0
122,he,0
123,looked,0
124,the,0
125,or,0
126,gishi,0
127,english,0
128,salton,0
129,with,0
130,ahomas,0
131,by,0
132,ner,0
133,hoc,0
134,fluke,0
135,tok,0
136,incalesvagan,0
137,yonkhol,0
138,sudden,0
139,orbiting,0
140,outfilling,0
141,uncauing,0
142,but,0
143,me,0
144,its,0
145,princess,0
146,in,0
147,mite,0
148,flukzoid,0
149,the,0
150,vomen,0
151,name,0
152,is,0
153,woon,0
154,singer,0
155,by,0
156,ma,0
157,shading,1
158,campan,0
159,the,0
160,mere,0
161,p,0
162,0,0
163,writen,0
164,with,0
165,venison,0
166,pale,0
167,makes,1
168,like,0
169,the,0
170,enghies,0
171,on,0
172,board,0
173,onder,0
174,she,0
175,mentioned,0
176,1st,0
177,peter,0
178,by,0
179,uns,0
180,a,0
181,most,0
182,fent,0
183,sigh,0
184,and,0
185,as,0
186,caved,0
187,promised,0
188,to,0
189,asia,0
190,rucksack,0
191,hata,0
192,a,0
193,book,0
194,i,0
195,live,0
196,cralet,0
197,a,0
198,sounder,0
199,stop,0
200,met,0
201,yes,0
202,fence,0
203,stiff,0
204,panel,0
205,montrose,0
206,the,0
207,cause,0
208,him,0
209,a,0
210,at,0
211,5,0
212,on,0
213,wen,0
214,do,0
215,east,0
216,on,0
217,such,0
218,mute,0
219,as,0
220,satin,0
221,papier,0
222,rose,0
223,cliton,0
224,cleton,0
225,to,0
226,to,0
227,the,0
228,chinese,0
229,taipei,0
230,stock,0
231,in,0
232,sammarco,0
233,as,0
234,sat,0
235,drinks,0
236,best,0
237,and,0
238,bed,0
239,rock,0
240,casian,0
241,0,0
242,manhood,0
243,op,0
244,fall,0
245,in,0
246,hell,0
247,ham,0
248,on,0
249,or,0
250,though,0
251,it,0
252,is,0
253,his,0
254,supermarket,0
255,snow,0
256,mastershofts,0
257,to,0
258,launch,0
259,we,0
260,stagei,0
261,with,0
262,staaken,0
263,howls,0
264,wot,0
265,at,0
266,this,0
267,bonbons,0
268,im,0
269,just,0
270,chrome,0
271,the,0
272,the,0
273,walk,0
274,finest,0
275,top,0
276,so,0
277,comic,0
278,kissen,0
279,fellow,0
280,to,0
281,fife,0
282,toughen,0
283,show,0
284,clidr,0
285,in,0
286,interval,0
287,motoroand,0
288,waylandbox,0
289,lotioble,0
290,one,0
291,can,0
292,ascend,0
293,bombongs,0
294,met,0
295,outro,1
296,labeling,0
297,auto,0
298,and,0
299,given,0
300,will,0
301,see,0
302,i,0
303,have,0
304,hate,0
305,an,0
306,leaps,0
307,in,0
308,teleportation,0
309,kissen,0
310,spot,0
311,yeah,0
312,righting,0
313,am,0
314,i,0
315,after,0
316,damn,0
317,and,0
318,coffined,0
319,trickles,0
320,site,0
321,lost,0
322,a,0
323,3,0
324,teletorea,0
325,gish,0
326,body,0
327,hose,0
328,9,0
329,arkon,0
330,freshen,0
331,on,0
332,beside,0
333,that,0
334,natic,0
335,of,0
336,english,0
337,yet,0
338,defied,0
339,yet,0
340,and,0
341,an,0
342,siting,0
343,instrument,0
344,spites,0
345,instrument,0
346,upper,0
347,stuff,0
348,it,0
349,was,1
350,a,0
351,fact,0
352,continen,0
353,made,0
354,oft,0
355,with,0
356,stand,0
357,sagen,0
358,letting,0
359,azazel,0
360,me,0
361,so,0
362,wall,0
363,wand,0
364,ragin,0
365,criston,0
366,get,0
367,a,0
368,custom,0
369,cut,0
370,are,0
371,out,0
372,rd,0
373,body,0
374,is,0
375,yet,0
376,monte,1
377,briles,0
378,by,0
379,a,0
380,shine,0
381,h,0
382,incli,0
383,data,0
384,sachin,0
385,u,0
386,s,0
387,a,0
388,lond,0
389,in,0
390,golf,0
391,fancy,0
392,for,0
393,on,0
394,tenden,0
395,inter,0
396,grout,0
397,shrunk,0
398,fancy,0
399,logan,0
400,are,0
401,from,0
402,where,0
